ts	score	is_pf	is_pnl_pct	is_trades	oos_pf	oos_pnl_pct	oos_trades	status	description
20260710T101703	-15.0000	0.000	0.000	0	0.000	0.000	0	round_R1_zone_volume	fib_timeframe=4h
20260710T101703	-15.0000	0.000	0.000	0	0.000	0.000	0	round_R1_zone_volume	fib_timeframe=4h
20260710T101704	-15.0000	0.000	0.000	0	0.000	0.000	0	round_R2_exits_seed	Exit/hold grid on soft wide-zone family: TP/SL ATR mults and max hold; candle on/off. Distinct from R1 zone focus.
20260710T101704	-inf	0.000	0.000	0	0.000	0.000	0	round_R2_exits	combo_id=soft_baseline, sl_atr=3.0
20260710T101704	-15.0000	0.000	0.000	0	0.000	0.000	0	round_R2_exits	max_hold_bars=32
20260710T101705	-15.0000	0.000	0.000	0	0.000	0.000	0	round_R2_exits	tp_atr=2.5
20260710T101705	-15.0000	0.000	0.000	0	0.000	0.000	0	round_R2_exits	require_candle=False, left_bars=3
20260710T101706	-15.0000	0.000	0.000	0	0.000	0.000	0	round_R2_exits	rsi_short=60.0, left_bars=3
20260710T101706	-15.0000	0.000	0.000	0	0.000	0.000	0	round_R2_exits	right_bars=5
20260710T101707	-15.0000	0.000	0.000	0	0.000	0.000	0	round_R2_exits	atr_period=14
20260710T101707	-15.0000	0.000	0.000	0	0.000	0.000	0	round_R2_exits	fib_zone=wide
20260710T101712	-inf	0.000	0.000	0	0.000	0.000	0	round_R2_exits	combo_id=soft_baseline, atr_period=10
20260710T101713	-15.0000	0.000	0.000	0	0.000	0.000	0	round_R2_exits	rsi_long=40.0
20260710T101713	-15.0000	0.000	0.000	0	0.000	0.000	0	round_R2_exits	require_candle=True
20260710T101714	-inf	0.000	0.000	0	0.000	0.000	0	round_R2_exits	combo_id=soft_baseline
20260710T101714	-15.0000	0.000	0.000	0	0.000	0.000	0	round_R2_exits	fib_zone=mid, require_candle=True
20260710T101715	-15.0000	0.000	0.000	0	0.000	0.000	0	round_R2_exits	left_bars=5
20260710T101715	-15.0000	0.000	0.000	0	0.000	0.000	0	round_R2_exits	right_bars=3
20260710T101716	-15.0000	0.000	0.000	0	0.000	0.000	0	round_R2_exits	left_bars=5
20260710T101716	-15.0000	0.000	0.000	0	0.000	0.000	0	round_R2_exits	fib_zone=mid
20260710T101717	-15.0000	0.000	0.000	0	0.000	0.000	0	round_R2_exits	rsi_long=45.0
20260710T101717	-15.0000	0.000	0.000	0	0.000	0.000	0	round_R2_exits	max_hold_bars=16
20260710T101718	-15.0000	0.000	0.000	0	0.000	0.000	0	round_R2_exits	fib_zone=wide
20260710T101718	-16.4305	0.200	-5.014	7	0.000	-2.348	2	round_R2_exits	max_hold_bars=128, rsi_long=50.0
20260710T101719	-13.8516	0.617	-1.427	5	0.611	-1.543	6	round_R2_exits	rsi_short=50.0
20260710T101719	-15.0000	0.000	0.000	0	0.000	0.000	0	round_R2_exits	rsi_short=55.0
20260710T101720	-13.8516	0.617	-1.427	5	0.611	-1.543	6	round_R2_exits	rsi_short=50.0
20260710T101720	-13.8516	0.617	-1.427	5	0.611	-1.543	6	round_R2_exits	max_hold_bars=128, right_bars=2
20260710T101721	-13.8516	0.617	-1.427	5	0.611	-1.543	6	round_R2_exits	max_hold_bars=32, rsi_short=50.0
20260710T101721	-11.7754	0.933	-0.117	5	1.911	1.066	6	round_R2_exits	sl_atr=3.0
20260710T101722	-15.0000	0.000	0.000	0	0.000	0.000	0	round_R2_exits	rsi_short=60.0, require_candle=True
20260710T101722	-13.8516	0.617	-1.427	5	0.611	-1.543	6	round_R2_exits	sl_atr=2.5, sl_atr=1.5
20260710T101723	-15.0000	0.000	0.000	0	0.000	0.000	0	round_R2_exits	rsi_short=55.0
20260710T101723	-inf	0.000	0.000	0	0.000	0.000	0	round_R2_exits	combo_id=soft_baseline
20260710T101724	-11.7754	0.933	-0.117	5	1.911	1.066	6	round_R2_exits	rsi_long=45.0
20260710T101724	-11.7754	0.933	-0.117	5	1.911	1.066	6	round_R2_exits	left_bars=5
20260710T101725	-11.7754	0.933	-0.117	5	1.911	1.066	6	round_R2_exits	require_candle=False
20260710T101725	-17.6647	0.329	-3.627	5	0.257	-4.819	6	round_R2_exits	sl_atr=1.0
20260710T101726	-11.7754	0.933	-0.117	5	1.911	1.066	6	round_R2_exits	rsi_long=40.0
20260710T101726	-11.6334	0.886	-0.255	5	2.237	1.488	6	round_R2_exits	sl_atr=2.5
20260710T101727	-inf	0.000	0.000	0	0.000	0.000	0	round_R2_exits	combo_id=soft_baseline, left_bars=5
20260710T101727	-14.3005	0.584	-0.973	4	0.000	-0.128	1	round_R2_exits	fib_zone=mid, right_bars=3
20260710T101728	-13.8516	0.617	-1.427	5	0.611	-1.543	6	round_R2_exits	sl_atr=1.5, rsi_long=45.0
20260710T101728	-11.6334	0.886	-0.255	5	2.237	1.488	6	round_R2_exits	require_candle=False, fib_zone=wide
20260710T101729	-14.3375	1.269	0.291	3	0.000	-0.128	1	round_R2_exits	fib_zone=mid
20260710T101729	-12.3857	0.944	-0.058	5	0.904	-0.110	6	round_R2_exits	tp_atr=1.0
20260710T101730	-11.6334	0.886	-0.255	5	2.237	1.488	6	round_R2_exits	left_bars=5
20260710T101730	-11.3394	0.626	-1.271	5	3.571	3.092	6	round_R2_exits	tp_atr=3.0, left_bars=5
20260710T101731	-13.0995	0.761	-0.254	4	0.731	-0.318	5	round_R2_exits	require_candle=True, tp_atr=1.0
20260710T101731	-11.3394	0.626	-1.271	5	3.571	3.092	6	round_R2_exits	right_bars=2
20260710T101732	-12.3080	0.634	-0.817	5	1.580	0.701	6	round_R2_exits	tp_atr=1.5, atr_period=10
20260710T101733	-12.0639	0.386	-2.080	5	3.049	2.452	6	round_R2_exits	max_hold_bars=24
20260710T101733	-11.3394	0.626	-1.271	5	3.571	3.092	6	round_R2_exits	rsi_short=50.0
20260710T101734	-20.2894	0.578	-2.403	9	0.282	-8.161	14	round_R3_structure_seed	Invalidation mode (none/wick/close) + one-entry + EMA stack toggle on soft mid/wide zones; structural A/B vs prior round
20260710T101734	-20.2894	0.578	-2.403	9	0.282	-8.161	14	round_R3_structure	require_ema_stack=False, require_candle=True
20260710T101735	-20.2894	0.578	-2.403	9	0.282	-8.161	14	round_R3_structure	left_bars=5
20260710T101735	-19.6616	99.000	0.793	1	0.000	-3.510	3	round_R3_structure	rsi_short=65.0
20260710T101736	-19.6616	99.000	0.793	1	0.000	-3.510	3	round_R3_structure	tp_atr=2.0, max_hold_bars=96
20260710T101736	-19.6616	99.000	0.793	1	0.000	-3.510	3	round_R3_structure	max_hold_bars=96
20260710T101737	-20.0457	99.000	1.059	1	0.000	-3.677	3	round_R3_structure	sl_atr=1.5
20260710T101737	-inf	0.000	0.000	0	0.000	0.000	0	round_R3_structure	combo_id=soft_baseline, right_bars=2
20260710T101738	-19.1843	99.000	0.633	1	0.000	-3.245	3	round_R3_structure	sl_atr=2.5
